n,has_partitions,p,q,j,k
2,False,,,,
3,False,,,,
5,True,2,3,1,1
11,True,2,3,1,2
11,True,2,3,3,1
11,True,2,7,2,1
17,True,2,3,3,2
17,True,2,13,2,1
19,True,2,17,1,1
19,True,2,3,4,1
19,True,2,11,3,1
23,True,2,19,2,1
23,True,2,7,4,1
13,True,2,5,3,1
13,True,2,11,1,1
13,True,2,3,2,2
37,True,2,29,3,1
37,True,2,5,5,1
41,True,2,37,2,1
41,True,2,5,4,2
41,True,2,3,5,2
43,True,2,41,1,1
43,True,2,11,5,1
43,True,2,3,4,3
31,True,2,3,2,3
31,True,2,29,1,1
31,True,2,23,3,1
47,True,2,31,4,1
47,True,2,43,2,1
53,True,2,7,2,2
53,True,2,37,4,1
59,True,2,3,5,3
59,True,2,43,4,1
67,True,2,3,6,1
67,True,2,59,3,1
29,True,2,13,4,1
29,True,2,3,1,3
29,True,2,5,2,2
71,True,2,67,2,1
71,True,2,7,6,1
73,True,2,3,6,2
73,True,2,41,5,1
73,True,2,71,1,1
7,True,2,5,1,1
7,True,2,3,2,1
79,True,2,47,5,1
79,True,2,71,3,1
97,True,2,89,3,1
97,True,2,3,4,4
83,True,2,67,4,1
83,True,2,79,2,1
83,True,2,3,1,4
83,True,2,19,6,1
101,True,2,97,2,1
101,True,2,37,6,1
107,True,2,43,6,1
107,True,2,103,2,1
61,True,2,59,1,1
61,True,2,53,3,1
61,True,2,29,5,1
89,True,2,3,3,4
89,True,2,73,4,1
89,True,2,5,6,2
109,True,2,101,3,1
109,True,2,107,1,1
113,True,2,7,6,2
113,True,2,97,4,1
113,True,2,109,2,1
113,True,2,3,5,4
137,True,2,11,4,2
137,True,2,73,6,1
137,True,2,3,7,2
131,True,2,3,7,1
131,True,2,127,2,1
131,True,2,67,6,1
139,True,2,107,5,1
139,True,2,137,1,1
139,True,2,11,7,1
139,True,2,131,3,1
149,False,,,,
103,True,2,71,5,1
103,True,2,101,1,1
127,True,2,5,1,3
163,True,2,131,5,1
167,True,2,151,4,1
167,True,2,163,2,1
167,True,2,103,6,1
173,True,2,13,2,2
173,True,2,157,4,1
173,True,2,109,6,1
179,True,2,163,4,1
151,True,2,149,1,1
151,True,2,23,7,1
191,True,2,127,6,1
181,True,2,173,3,1
181,True,2,179,1,1
181,True,2,53,7,1
181,True,2,149,5,1
193,True,2,191,1,1
157,True,2,29,7,1
157,True,2,149,3,1
157,True,2,5,5,3
199,True,2,167,5,1
199,True,2,197,1,1
199,True,2,71,7,1
199,True,2,191,3,1
197,True,2,181,4,1
197,True,2,193,2,1
211,True,2,179,5,1
211,True,2,83,7,1
223,True,2,191,5,1
227,True,2,223,2,1
227,True,2,163,6,1
227,True,2,211,4,1
229,True,2,101,7,1
229,True,2,197,5,1
229,True,2,227,1,1
239,True,2,223,4,1
233,True,2,13,6,2
233,True,2,229,2,1
251,True,2,3,3,5
241,True,2,233,3,1
241,True,2,113,7,1
241,True,2,239,1,1
257,True,2,193,6,1
257,True,2,241,4,1
263,True,2,199,6,1
263,True,2,7,8,1
269,True,2,13,8,1
271,True,2,239,5,1
271,True,2,269,1,1
271,True,2,263,3,1
277,True,2,149,7,1
277,True,2,269,3,1
283,True,2,3,8,3
283,True,2,281,1,1
283,True,2,251,5,1
293,True,2,17,2,2
293,True,2,277,4,1
293,True,2,37,8,1
293,True,2,229,6,1
307,True,2,3,6,5
307,True,2,179,7,1
311,True,2,307,2,1
313,True,2,311,1,1
313,True,2,281,5,1
281,True,2,5,8,2
281,True,2,277,2,1
317,True,2,61,8,1
317,True,2,313,2,1
331,False,,,,
347,True,2,283,6,1
347,True,2,331,4,1
347,True,2,7,2,3
349,True,2,347,1,1
349,True,2,317,5,1
337,True,2,3,8,4
359,True,2,7,4,3
359,True,2,103,8,1
367,True,2,239,7,1
367,True,2,359,3,1
379,True,2,347,5,1
379,True,2,251,7,1
373,False,,,,
383,True,2,367,4,1
383,True,2,127,8,1
383,True,2,379,2,1
353,True,2,17,6,2
353,True,2,97,8,1
353,True,2,337,4,1
353,True,2,349,2,1
401,True,2,337,6,1
401,True,2,397,2,1
409,True,2,401,3,1
409,True,2,281,7,1
389,True,2,373,4,1
419,True,2,163,8,1
421,True,2,293,7,1
421,True,2,389,5,1
421,True,2,419,1,1
431,True,2,367,6,1
433,True,2,431,1,1
433,True,2,401,5,1
439,True,2,311,7,1
439,True,2,431,3,1
397,True,2,389,3,1
397,True,2,269,7,1
443,True,2,439,2,1
443,True,2,379,6,1
449,True,2,433,4,1
449,True,2,193,8,1
461,True,2,457,2,1
461,True,2,397,6,1
457,True,2,449,3,1
463,True,2,431,5,1
463,True,2,461,1,1
467,True,2,463,2,1
467,True,2,211,8,1
479,True,2,223,8,1
479,True,2,463,4,1
487,True,2,479,3,1
487,True,2,359,7,1
491,True,2,487,2,1
499,True,2,467,5,1
499,True,2,491,3,1
499,True,2,3,8,5
503,True,2,439,6,1
503,True,2,487,4,1
503,True,2,499,2,1
509,False,,,,
541,True,2,509,5,1
541,True,2,29,9,1
523,True,2,491,5,1
523,True,2,521,1,1
523,True,2,11,9,1
547,True,2,419,7,1
557,True,2,541,4,1
569,True,2,313,8,1
577,True,2,449,7,1
577,True,2,569,3,1
571,True,2,569,1,1
571,True,2,59,9,1
571,True,2,563,3,1
571,True,2,443,7,1
521,True,2,457,6,1
521,True,2,3,9,2
563,True,2,547,4,1
563,True,2,499,6,1
563,True,2,307,8,1
599,True,2,7,8,3
593,True,2,337,8,1
593,True,2,577,4,1
593,True,2,23,6,2
593,True,2,3,9,4
601,True,2,89,9,1
601,True,2,569,5,1
601,True,2,599,1,1
601,True,2,593,3,1
617,True,2,19,8,2
617,True,2,601,4,1
617,True,2,613,2,1
613,True,2,101,9,1
619,True,2,617,1,1
619,True,2,587,5,1
619,True,2,107,9,1
619,True,2,491,7,1
607,True,2,479,7,1
607,True,2,599,3,1
587,True,2,523,6,1
587,True,2,571,4,1
587,True,2,331,8,1
631,True,2,599,5,1
631,True,2,503,7,1
647,True,2,643,2,1
647,True,2,631,4,1
659,True,2,643,4,1
653,True,2,397,8,1
641,True,2,5,4,4
641,True,2,577,6,1
661,True,2,149,9,1
661,True,2,653,3,1
661,True,2,659,1,1
673,True,2,641,5,1
643,True,2,131,9,1
643,True,2,641,1,1
677,True,2,661,4,1
677,True,2,421,8,1
677,True,2,673,2,1
677,True,2,613,6,1
683,True,2,619,6,1
691,True,2,683,3,1
691,True,2,563,7,1
691,True,2,659,5,1
691,True,2,179,9,1
701,False,,,,
719,True,2,463,8,1
709,True,2,701,3,1
709,True,2,197,9,1
709,True,2,677,5,1
727,True,2,599,7,1
727,True,2,719,3,1
733,True,2,701,5,1
733,True,2,3,2,6
739,True,2,227,9,1
743,True,2,739,2,1
743,True,2,727,4,1
743,True,2,487,8,1
761,True,2,3,5,6
761,True,2,757,2,1
751,True,2,719,5,1
751,True,2,239,9,1
751,True,2,743,3,1
757,False,,,,
769,True,2,641,7,1
769,True,2,257,9,1
769,True,2,761,3,1
773,True,2,709,6,1
773,True,2,757,4,1
773,True,2,769,2,1
787,True,2,659,7,1
797,True,2,541,8,1
797,True,2,733,6,1
809,False,,,,
811,True,2,683,7,1
811,True,2,809,1,1
823,True,2,311,9,1
823,True,2,821,1,1
821,True,2,757,6,1
827,True,2,823,2,1
827,True,2,571,8,1
827,True,2,811,4,1
853,True,2,821,5,1
829,True,2,317,9,1
829,True,2,797,5,1
829,True,2,701,7,1
829,True,2,821,3,1
829,True,2,827,1,1
857,True,2,29,4,2
857,True,2,601,8,1
857,True,2,853,2,1
857,True,2,3,7,6
839,True,2,823,4,1
859,True,2,827,5,1
859,True,2,857,1,1
859,True,2,347,9,1
877,False,,,,
863,True,2,859,2,1
863,True,2,607,8,1
887,True,2,883,2,1
887,True,2,823,6,1
887,True,2,631,8,1
883,True,2,881,1,1
881,True,2,877,2,1
881,True,2,5,8,4
907,False,,,,
911,True,2,907,2,1
929,True,2,673,8,1
